Intent,Count
हुक्का,18
पिजा,17
चाउमिन,17
मोमो,17
चिकेन चिल्ली,16
बफ ससेज,16
परि,16
चिकेन लेगपीस,16
बफ सुकुटी,16
आलु पकौडा,16
बफ चिल्ली,16
बर्गर,16
चिकेन ससेज,16
चिकेन ललिपप,16
प्याज पकौडा,16
चिकेन सुकुटी,16
चिसो,15
ससेज,12
सुकुटी,12
वाईफाई,11
भेज मोमो,10
भेज चाउमिन,10
बफ मोमो,10
अफर,10
मसरूम पिजा,10
चिकेन चाउमिन,10
बफ चाउमिन,10
चिकेन पिजा,10
मिक्स पिजा,10
पकौडा,10
चिज पिजा,10
चिकेन मोमो,10
सी मोमो,9
कोक,9
टुबोर्ग गोल्ड,8
टुबोर्ग स्ट्रोङ,8
खुकुरी,8
स्पेशल,8
टुबोर्ग डिलक्स,8
रुसलान,8
अर्ना,8
वाईन,8
डिउ,8
फेन्टा,8
बियर,8
स्प्राइट,8
कम्पनि,7
रेस्टुरेन्ट,7
